Data;Hora;Chuva;Nivel ;Vazao
01/04/2024;00:00:00;0.00;172.00;94.00
01/04/2024;01:00:00;0.00;170.00;90.90
01/04/2024;02:00:00;0.00;169.00;89.40
01/04/2024;03:00:00;0.00;168.00;87.80
01/04/2024;04:00:00;0.00;166.00;84.50
01/04/2024;05:00:00;0.00;165.00;83.40
01/04/2024;06:00:00;0.00;164.00;82.20
01/04/2024;07:00:00;0.00;162.00;79.90
01/04/2024;08:00:00;0.00;161.00;78.80
01/04/2024;09:00:00;0.00;160.00;77.70
01/04/2024;10:00:00;0.00;158.00;75.50
01/04/2024;11:00:00;0.00;157.00;74.40
01/04/2024;12:00:00;0.00;156.00;73.30
01/04/2024;13:00:00;0.00;156.00;73.30
01/04/2024;14:00:00;0.00;155.00;72.20
01/04/2024;15:00:00;0.00;154.00;71.10
01/04/2024;16:00:00;0.00;154.00;71.10
01/04/2024;17:00:00;0.00;153.00;70.10
01/04/2024;18:00:00;0.00;153.00;70.10
01/04/2024;19:00:00;0.00;153.00;70.10
01/04/2024;20:00:00;0.00;152.00;69.00
01/04/2024;21:00:00;0.00;152.00;69.00
01/04/2024;22:00:00;0.00;151.00;68.00
01/04/2024;23:00:00;0.00;151.00;68.00
02/04/2024;00:00:00;0.00;151.00;68.00
02/04/2024;01:00:00;0.00;151.00;68.00
02/04/2024;02:00:00;0.00;150.00;66.90
02/04/2024;03:00:00;0.00;150.00;66.90
02/04/2024;04:00:00;0.00;150.00;66.90
02/04/2024;05:00:00;0.00;150.00;66.90
02/04/2024;06:00:00;0.00;149.00;65.90
02/04/2024;07:00:00;0.00;149.00;65.90
02/04/2024;08:00:00;0.00;148.00;64.90
02/04/2024;09:00:00;0.00;148.00;64.90
02/04/2024;10:00:00;0.00;147.00;63.80
02/04/2024;11:00:00;0.00;146.00;62.80
02/04/2024;12:00:00;0.00;146.00;62.80
02/04/2024;13:00:00;0.00;145.00;61.80
02/04/2024;14:00:00;0.00;145.00;61.80
02/04/2024;15:00:00;0.00;145.00;61.80
02/04/2024;16:00:00;0.00;144.00;60.80
02/04/2024;17:00:00;0.00;143.00;59.90
02/04/2024;18:00:00;0.00;143.00;59.90
02/04/2024;19:00:00;0.00;143.00;59.90
02/04/2024;20:00:00;0.00;143.00;59.90
02/04/2024;21:00:00;0.00;143.00;59.90
02/04/2024;22:00:00;0.00;143.00;59.90
02/04/2024;23:00:00;0.00;143.00;59.90
03/04/2024;00:00:00;0.00;142.00;58.90
03/04/2024;01:00:00;0.00;142.00;58.90
03/04/2024;02:00:00;0.00;142.00;58.90
03/04/2024;03:00:00;0.00;142.00;58.90
03/04/2024;04:00:00;0.00;142.00;58.90
03/04/2024;05:00:00;0.00;142.00;58.90
03/04/2024;06:00:00;0.00;141.00;57.90
03/04/2024;07:00:00;0.00;141.00;57.90
03/04/2024;08:00:00;0.00;140.00;57.00
03/04/2024;09:00:00;0.00;140.00;57.00
03/04/2024;10:00:00;0.00;140.00;57.00
03/04/2024;11:00:00;0.00;139.00;56.00
03/04/2024;12:00:00;0.00;139.00;56.00
03/04/2024;13:00:00;0.00;139.00;56.00
03/04/2024;14:00:00;0.00;138.00;55.10
03/04/2024;15:00:00;0.00;139.00;56.00
03/04/2024;16:00:00;0.00;138.00;55.10
03/04/2024;17:00:00;0.00;138.00;55.10
03/04/2024;18:00:00;0.00;138.00;55.10
03/04/2024;19:00:00;0.00;137.00;54.10
03/04/2024;20:00:00;0.00;137.00;54.10
03/04/2024;21:00:00;0.00;137.00;54.10
03/04/2024;22:00:00;0.00;137.00;54.10
03/04/2024;23:00:00;0.00;137.00;54.10
04/04/2024;00:00:00;0.00;137.00;54.10
04/04/2024;01:00:00;0.00;137.00;54.10
04/04/2024;02:00:00;0.00;137.00;54.10
04/04/2024;03:00:00;0.00;137.00;54.10
04/04/2024;04:00:00;0.00;137.00;54.10
04/04/2024;05:00:00;0.00;137.00;54.10
04/04/2024;06:00:00;0.00;137.00;54.10
04/04/2024;07:00:00;0.00;137.00;54.10
04/04/2024;08:00:00;0.00;137.00;54.10
